fid,month,year,site,water,temp,s.temp,sal,sal2,vvha,vvha.l,vvha.u,pilf,pilf.l,pilf.u,tlh,tlh.l,tlh.u,tdh,tdh.l,tdh.u,trh,trh.l,trh.u,log.vvha,log.pilf,log.tlh,log.tdh,log.trh,water.log.vvha,water.log.pilf,water.log.tlh,water.log.tdh,water.log.trh,chlo,pheo,turb
93,4,2014,1,24,14,-1.28404687,11,121,11,3,43,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2.40E+00,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
94,4,2014,1,24,14,-1.28404687,11,121,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
95,4,2014,1,24,14,-1.28404687,11,121,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
96,4,2014,1,24,14,-1.28404687,11,121,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,-26.40724568,-26.40724568,-26.40724568,14.79,1.15,6.5
97,4,2014,2,25,15,-1.110724954,19,361,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,1.28E+00,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
98,4,2014,2,25,15,-1.110724954,19,361,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,9.64E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
99,4,2014,2,25,15,-1.110724954,19,361,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,9.64E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
100,4,2014,2,25,15,-1.110724954,19,361,3,0.37,25,5.40E-11,5.40E-11,5.40E-11,23,6.6,80,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,1.10E+00,-2.36E+01,1.36E+00,2.22E+00,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,0.91,0.51,1.6
101,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
102,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
103,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
104,4,2014,4,26,14,-1.28404687,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.76,1.65,32
105,5,2014,1,27,18,-0.590759207,8,64,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
106,5,2014,1,27,18,-0.590759207,8,64,3,0.37,25,5.40E-11,5.40E-11,5.40E-11,6,1.2,30,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.10E+00,-2.36E+01,7.78E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
107,5,2014,1,27,18,-0.590759207,8,64,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2.22E+00,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
108,5,2014,1,27,18,-0.590759207,8,64,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,9.51,1.08,5
109,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,7.2,1.6,32,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,8.57E-01,1.28E+00,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
110,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
111,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
112,5,2014,2,28,16,-0.937403038,13,169,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3,0.37,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,4.77E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.51,1.87,4.7
113,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,5.56E-01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
114,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
115,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
116,5,2014,4,29,16,-0.937403038,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,-1.03E+01,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,-26.40724568,-26.40724568,-26.40724568,3.14,6.07,26
117,5,2014,1,30,21,-0.070793459,7,49,420,100,1700,92,23,370,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,6.04E+00,4.52E+00,-1.03E+01,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
118,5,2014,1,30,21,-0.070793459,7,49,9200,2300,37000,920,230,3700,21,6.1,73,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,9.13E+00,6.82E+00,1.32E+00,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
119,5,2014,1,30,21,-0.070793459,7,49,1400,400,5100,42,10,170,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,7.24E+00,3.74E+00,-1.03E+01,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
120,5,2014,1,30,21,-0.070793459,7,49,1500,410,5200,230,66,800,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,7.31E+00,5.44E+00,5.56E-01,-2.36E+01,-2.36E+01,3.044522438,0.405465108,-26.40724568,-26.40724568,-26.40724568,19.19,3.3,9.8
121,5,2014,2,31,21,-0.070793459,17,289,1500,410,5200,92,23,370,1100,300,4300,23,6.6,80,9.2,2.3,37,7.31E+00,4.52E+00,3.04E+00,3.14E+00,2.22E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
122,5,2014,2,31,21,-0.070793459,17,289,920,230,3700,23,6.6,80,1500,410,5200,42,10,170,23,6.6,80,6.82E+00,3.14E+00,3.18E+00,3.74E+00,3.14E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
123,5,2014,2,31,21,-0.070793459,17,289,4200,1000,17000,420,100,1700,2300,660,8000,92,23,370,92,23,370,8.34E+00,6.04E+00,3.36E+00,4.52E+00,4.52E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
124,5,2014,2,31,21,-0.070793459,17,289,920,230,3700,42,10,170,920,230,3700,9.2,2.3,37,42,10,170,6.82E+00,3.74E+00,2.96E+00,2.22E+00,3.74E+00,2.00148,-0.083381609,2.708050201,-1.021651248,-26.40724568,5.51,1.26,5.9
125,5,2014,4,32,19,-0.417437291,32,1024,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,20,5.9,71,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,1.30E+00,1.28E+00,-2.36E+01,-26.40724568,-26.40724568,2.219203484,0.405465108,-26.40724568,18.06,28.61,160
126,5,2014,4,32,19,-0.417437291,32,1024,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,23,6.6,80,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,1.36E+00,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,2.219203484,0.405465108,-26.40724568,18.06,28.61,160
127,5,2014,4,32,19,-0.417437291,32,1024,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,230,66,800,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.28E+00,-2.36E+01,2.36E+00,-2.36E+01,-2.36E+01,-26.40724568,-26.40724568,2.219203484,0.405465108,-26.40724568,18.06,28.61,160
128,5,2014,4,32,19,-0.417437291,32,1024,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,230,66,800,7.3,1.7,33,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,2.36E+00,1.99E+00,-2.36E+01,-26.40724568,-26.40724568,2.219203484,0.405465108,-26.40724568,18.06,28.61,160
129,6,2014,1,33,22,0.102528457,7,49,93000,23000,380000,23000,6600,81000,7.3,1.7,33,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.14E+01,1.00E+01,8.63E-01,-2.36E+01,-2.36E+01,3.737669618,3.135494216,-26.40724568,-26.40724568,-26.40724568,10.69,2.31,17.3
130,6,2014,1,33,22,0.102528457,7,49,290000,78000,1100000,23000,6600,81000,28,7.7,99,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.26E+01,1.00E+01,1.45E+00,-2.36E+01,-2.36E+01,3.737669618,3.135494216,-26.40724568,-26.40724568,-26.40724568,10.69,2.31,17.3
131,6,2014,1,33,22,0.102528457,7,49,150000,42000,540000,43000,10000,180000,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.19E+01,1.07E+01,5.56E-01,-2.36E+01,-2.36E+01,3.737669618,3.135494216,-26.40724568,-26.40724568,-26.40724568,10.69,2.31,17.3
132,6,2014,1,33,22,0.102528457,7,49,43000,10000,180000,9200,2300,37000,7.2,1.6,32,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.07E+01,9.13E+00,8.57E-01,-2.36E+01,-2.36E+01,3.737669618,3.135494216,-26.40724568,-26.40724568,-26.40724568,10.69,2.31,17.3
133,6,2014,2,34,26,0.795816121,16,256,38000,9700,150000,4200,1000,17000,4200,1000,17000,92,23,370,230,66,800,1.05E+01,8.34E+00,3.62E+00,4.52E+00,5.44E+00,2.995732274,2.63905733,3.63758616,-0.083381609,-26.40724568,5.02,2.57,13.4
134,6,2014,2,34,26,0.795816121,16,256,2300,660,8000,920,230,3700,2300,660,8000,92,23,370,92,23,370,7.74E+00,6.82E+00,3.36E+00,4.52E+00,4.52E+00,2.995732274,2.63905733,3.63758616,-0.083381609,-26.40724568,5.02,2.57,13.4
135,6,2014,2,34,26,0.795816121,16,256,20000,5900,71000,3800,970,15000,11000,2900,42000,150,41,520,420,100,1700,9.90E+00,8.24E+00,4.04E+00,5.01E+00,6.04E+00,2.995732274,2.63905733,3.63758616,-0.083381609,-26.40724568,5.02,2.57,13.4
136,6,2014,2,34,26,0.795816121,16,256,9200,2300,37000,920,230,3700,7400,1700,31000,42,10,170,150,41,520,9.13E+00,6.82E+00,3.87E+00,3.74E+00,5.01E+00,2.995732274,2.63905733,3.63758616,-0.083381609,-26.40724568,5.02,2.57,13.4
137,6,2014,4,35,24,0.449172289,30,900,14,4,51,5.40E-11,5.40E-11,5.40E-11,920,230,3700,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2.64E+00,-2.36E+01,2.96E+00,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,0.405465108,-1.021651248,-26.40724568,4.74,3.37,18.9
138,6,2014,4,35,24,0.449172289,30,900,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,42,10,170,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,1.62E+00,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,0.405465108,-1.021651248,-26.40724568,4.74,3.37,18.9
139,6,2014,4,35,24,0.449172289,30,900,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,42,10,170,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2.22E+00,-2.36E+01,1.62E+00,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,0.405465108,-1.021651248,-26.40724568,4.74,3.37,18.9
140,6,2014,4,35,24,0.449172289,30,900,7.3,1.7,33,5.40E-11,5.40E-11,5.40E-11,92,23,370,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.99E+00,-2.36E+01,1.96E+00,-2.36E+01,-2.36E+01,-1.203972804,-26.40724568,0.405465108,-1.021651248,-26.40724568,4.74,3.37,18.9
141,6,2014,1,36,27,0.969138037,10,100,93000,23000,380000,7400,1700,31000,2700,750,9500,11,2.9,42,5.40E-11,5.40E-11,5.40E-11,1.14E+01,8.91E+00,3.43E+00,2.40E+00,-2.36E+01,6.040254711,2.708050201,-0.314710745,-26.40724568,-26.40724568,19.3,3.79,11.3
142,6,2014,1,36,27,0.969138037,10,100,23000,6600,81000,1500,410,5200,280,77,990,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.00E+01,7.31E+00,2.45E+00,-2.36E+01,-2.36E+01,6.040254711,2.708050201,-0.314710745,-26.40724568,-26.40724568,19.3,3.79,11.3
143,6,2014,1,36,27,0.969138037,10,100,240000,67000,860000,2000,590,7100,52,12,220,3,0.38,25,5.40E-11,5.40E-11,5.40E-11,1.24E+01,7.60E+00,1.72E+00,1.10E+00,-2.36E+01,6.040254711,2.708050201,-0.314710745,-26.40724568,-26.40724568,19.3,3.79,11.3
144,6,2014,1,36,27,0.969138037,10,100,43000,10000,180000,2300,660,8000,150,42,520,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,1.07E+01,7.74E+00,2.18E+00,-2.36E+01,-2.36E+01,6.040254711,2.708050201,-0.314710745,-26.40724568,-26.40724568,19.3,3.79,11.3
145,6,2014,2,37,28,1.142459953,20,400,11000,3000,42000,380,97,1500,15000,4100,52000,42,10,170,21,6.1,73,9.31E+00,5.94E+00,4.18E+00,3.74E+00,3.04E+00,3.63758616,2.219203484,5.010635294,0.405465108,-0.328504067,5.09,3.21,7.6
146,6,2014,2,37,28,1.142459953,20,400,4200,1000,17000,4200,1000,17000,15000,4300,53000,270,75,950,74,17,310,8.34E+00,8.34E+00,4.18E+00,5.60E+00,4.30E+00,3.63758616,2.219203484,5.010635294,0.405465108,-0.328504067,5.09,3.21,7.6
147,6,2014,2,37,28,1.142459953,20,400,7400,1700,31000,920,230,3700,21000,6100,73000,42,10,170,42,10,170,8.91E+00,6.82E+00,4.32E+00,3.74E+00,3.74E+00,3.63758616,2.219203484,5.010635294,0.405465108,-0.328504067,5.09,3.21,7.6
148,6,2014,2,37,28,1.142459953,20,400,3600,930,14000,920,230,3700,9200,2300,37000,42,10,170,9.2,2.3,37,8.19E+00,6.82E+00,3.96E+00,3.74E+00,2.22E+00,3.63758616,2.219203484,5.010635294,0.405465108,-0.328504067,5.09,3.21,7.6
149,6,2014,4,38,27,0.969138037,34,1156,9,2.2,37,5.40E-11,5.40E-11,5.40E-11,920,230,3700,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2.20E+00,-2.36E+01,2.96E+00,-2.36E+01,-2.36E+01,-0.328504067,-0.328504067,3.135494216,-1.021651248,-1.021651248,14.03,10,55.4
150,6,2014,4,38,27,0.969138037,34,1156,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,1500,410,5200,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,1.28E+00,-2.36E+01,3.18E+00,2.22E+00,-2.36E+01,-0.328504067,-0.328504067,3.135494216,-1.021651248,-1.021651248,14.03,10,55.4
151,6,2014,4,38,27,0.969138037,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,2100,610,7300,9.2,2.3,37,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,3.32E+00,2.22E+00,-2.36E+01,-0.328504067,-0.328504067,3.135494216,-1.021651248,-1.021651248,14.03,10,55.4
152,6,2014,4,38,27,0.969138037,34,1156,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,5.40E-11,23000,6600,81000,11,3,42,5.40E-11,5.40E-11,5.40E-11,-2.36E+01,-2.36E+01,4.36E+00,2.40E+00,-2.36E+01,-0.328504067,-0.328504067,3.135494216,-1.021651248,-1.021651248,14.03,10,55.4
153,7,2014,1,39,27,0.969138037,10,100,75000,18000,320000,3800,970,15000,280,77,990,3.6,0.51,25,5.40E-11,5.40E-11,5.40E-11,1.12E+01,8.24E+00,2.45E+00,1.28E+00,-2.36E+01,5.438079309,3.044522438,2.219203484,-26.40724568,-26.40724568,22.42,0.71,11.9
